,,X,Y,A,B,d,x_ab,y_ab,p,n_t,n_a,sig
Intersectional-Gender-Science-BMBF,vit,black-male,black-female,science,liberal-arts,0.6638313726853835,0.012730574153531043,0.00018276910598867823,0.0175,20,21,**
Intersectional-Gender-Science-BMWF,vit,black-male,white-female,science,liberal-arts,0.20561187360684338,0.012730574153531043,0.009438696666815712,0.2648,20,21,
Intersectional-Gender-Career-MF,vit,male,female,career,family,0.8840037377067784,-0.0650826647914621,-0.08936011957717346,0.0001,40,21,***
Intersectional-Gender-Career-WMBM,vit,black-male,white-male,career,family,-0.6131042325078955,-0.07340513911793999,-0.05676019046498424,0.9744,20,21,
Intersectional-Gender-Career-WMBF,vit,white-male,black-female,career,family,1.2923240747353313,-0.05676019046498424,-0.09574210501676646,0.0001,20,21,***
Intersectional-Gender-Career-WMWF,vit,white-male,white-female,career,family,0.9942457451127682,-0.05676019046498424,-0.08297813413758051,0.0005,20,21,***
Intersectional-Gender-Career-BMBF,vit,black-male,black-female,career,family,0.8315627825250865,-0.07340513911793999,-0.09574210501676646,0.0036,20,21,***
Intersectional-Gender-Career-BMWF,vit,black-male,white-female,career,family,0.3857164966392103,-0.07340513911793999,-0.08297813413758051,0.1152,20,21,
Intersectional-Valence-BW,vit,white,black,pleasant,unpleasant,0.18549269768113777,0.014401145518345444,0.010999910986220673,0.2069,40,55,
Intersectional-Valence-WMBM,vit,white-male,black-male,pleasant,unpleasant,0.3246648422111907,0.0033666985700133156,-0.0019772074944856928,0.1501,20,55,
Intersectional-Valence-WMBF,vit,white-male,black-female,pleasant,unpleasant,-1.2401352211684116,0.0033666985700133156,0.02397702946692704,1.0,20,55,
Intersectional-Valence-WMWF,vit,white-female,white-male,pleasant,unpleasant,1.2640524194810125,0.02543559246667757,0.0033666985700133156,0.0001,20,55,***
Intersectional-Valence-WFBM,vit,white-female,black-male,pleasant,unpleasant,1.3656742906212243,0.02543559246667757,-0.0019772074944856928,0.0001,20,55,***
Intersectional-Valence-BFBM,vit,black-female,black-male,pleasant,unpleasant,1.348729852132239,0.02397702946692704,-0.0019772074944856928,0.0001,20,55,***
Intersectional-Valence-WFBF,vit,white-female,black-female,pleasant,unpleasant,0.1363312190178245,0.02543559246667757,0.02397702946692704,0.3405,20,55,
Intersectional-Valence-FM,vit,female,male,pleasant,unpleasant,1.309515708167609,0.024706310966802307,0.0006947455377638116,0.0001,40,55,***
Insect-Flower,swin,flower,insect,pleasant,unpleasant,1.6891385644047912,0.05920683240036883,-0.036637367621646,0.0001,35,55,***
Gender-Science,swin,male,female,science,liberal-arts,0.46484097796789997,0.015617280412562098,0.00858003868327913,0.0173,40,21,**
Gender-Career,swin,male,female,career,family,0.5651218661672345,-0.07299449177332315,-0.08935158135093117,0.0054,40,21,***
Intersectional-Gender-Science-MF,swin,male,female,science,liberal-arts,-0.029454707836313255,0.004891895528537779,0.005301909925008645,0.5489,40,21,
Intersectional-Gender-Science-WMBM,swin,white-male,black-male,science,liberal-arts,0.3174284248092116,0.007419654641388477,0.0023641364156870804,0.1636,20,21,
Intersectional-Gender-Science-WMBF,swin,white-male,black-female,science,liberal-arts,0.15090429061769126,0.007419654641388477,0.00506059125029497,0.3238,20,21,
Intersectional-Gender-Science-WMWF,swin,white-male,white-female,science,liberal-arts,0.11600143542537146,0.007419654641388477,0.00554322859972232,0.3598,20,21,
Intersectional-Gender-Science-BMBF,swin,black-male,black-female,science,liberal-arts,-0.23934803450726444,0.0023641364156870804,0.00506059125029497,0.773,20,21,
Intersectional-Gender-Science-BMWF,swin,black-male,white-female,science,liberal-arts,-0.2636062187393862,0.0023641364156870804,0.00554322859972232,0.7927,20,21,
Intersectional-Gender-Career-MF,swin,male,female,career,family,0.5275526674221563,-0.07008758421349184,-0.08461359389872017,0.0092,40,21,***
Intersectional-Gender-Career-WMBM,swin,black-male,white-male,career,family,-0.7397838507931663,-0.08024718515383182,-0.05992798327315187,0.9913,20,21,
Intersectional-Gender-Career-WMBF,swin,white-male,black-female,career,family,0.890357140508097,-0.05992798327315187,-0.0843562944576036,0.0015,20,21,***
Intersectional-Gender-Career-WMWF,swin,white-male,white-female,career,family,0.9555686602075675,-0.05992798327315187,-0.08487089333983669,0.0007,20,21,***
Intersectional-Gender-Career-BMBF,swin,black-male,black-female,career,family,0.14490581972749877,-0.08024718515383182,-0.0843562944576036,0.328,20,21,
Intersectional-Gender-Career-BMWF,swin,black-male,white-female,career,family,0.17144255698666858,-0.08024718515383182,-0.08487089333983669,0.3061,20,21,
Intersectional-Valence-BW,swin,white,black,pleasant,unpleasant,0.2619499044631754,0.007867992239828236,0.0025056681861815055,0.124,40,55,
Intersectional-Valence-WMBM,swin,white-male,black-male,pleasant,unpleasant,0.4724408774774293,-0.0045154616372389935,-0.012286450113740036,0.0739,20,55,*
Intersectional-Valence-WMBF,swin,white-male,black-female,pleasant,unpleasant,-1.3121694946749647,-0.0045154616372389935,0.017297786486103046,1.0,20,55,
Intersectional-Valence-WMWF,swin,white-female,white-male,pleasant,unpleasant,1.3216554218801915,0.020251446116895465,-0.0045154616372389935,0.0001,20,55,***
Intersectional-Valence-WFBM,swin,white-female,black-male,pleasant,unpleasant,1.3634292878578826,0.020251446116895465,-0.012286450113740036,0.0001,20,55,***
Intersectional-Valence-BFBM,swin,black-female,black-male,pleasant,unpleasant,1.3462064565452434,0.017297786486103046,-0.012286450113740036,0.0001,20,55,***
Intersectional-Valence-WFBF,swin,white-female,black-female,pleasant,unpleasant,0.20907909465944818,0.020251446116895465,0.017297786486103046,0.2587,20,55,
Intersectional-Valence-FM,swin,female,male,pleasant,unpleasant,1.3275285984727454,0.018774616301499257,-0.008400955875489512,0.0001,40,55,***
