,,X,Y,A,B,d,x_ab,y_ab,p,n_t,n_a,sig
Intersectional-Gender-Science-BMBF,vit,black-male,black-female,science,liberal-arts,0.352919292529009,0.010411611455499632,0.002617795985449146,0.1411,20,21,
Intersectional-Gender-Science-BMWF,vit,black-male,white-female,science,liberal-arts,-0.11193654872139756,0.010411611455499632,0.014142426783889222,0.596,20,21,
Intersectional-Gender-Career-MF,vit,male,female,career,family,-0.25966880728389685,-0.040742032662802616,-0.03292244276500773,0.8728,40,21,
Intersectional-Gender-Career-WMBM,vit,black-male,white-male,career,family,0.1850520976498583,-0.038253879883758564,-0.04323018544184667,0.2732,20,21,
Intersectional-Gender-Career-WMBF,vit,white-male,black-female,career,family,-0.050657378277253425,-0.04323018544184667,-0.04155376256474333,0.5615,20,21,
Intersectional-Gender-Career-WMWF,vit,white-male,white-female,career,family,-0.7953405139594424,-0.04323018544184667,-0.024291122965272128,0.9942,20,21,
Intersectional-Gender-Career-BMBF,vit,black-male,black-female,career,family,0.09331486781768862,-0.038253879883758564,-0.04155376256474333,0.3957,20,21,
Intersectional-Gender-Career-BMWF,vit,black-male,white-female,career,family,-0.5360998085983046,-0.038253879883758564,-0.024291122965272128,0.9532,20,21,
Intersectional-Valence-BW,vit,white,black,pleasant,unpleasant,0.24222379153078777,-0.006387239219096572,-0.010060544019345289,0.1416,40,55,
Intersectional-Valence-WMBM,vit,white-male,black-male,pleasant,unpleasant,-0.024280612726781118,-0.012871883006765122,-0.012541515592579294,0.535,20,55,
Intersectional-Valence-WMBF,vit,white-male,black-female,pleasant,unpleasant,-0.31925546077720107,-0.012871883006765122,-0.007579572446111281,0.8388,20,55,
Intersectional-Valence-WMWF,vit,white-female,white-male,pleasant,unpleasant,0.8803704997616001,9.740456857198006e-05,-0.012871883006765122,0.0021,20,55,***
Intersectional-Valence-WFBM,vit,white-female,black-male,pleasant,unpleasant,0.9347351747021319,9.740456857198006e-05,-0.012541515592579294,0.0003,20,55,***
Intersectional-Valence-BFBM,vit,black-female,black-male,pleasant,unpleasant,0.31902765246005016,-0.007579572446111281,-0.012541515592579294,0.1564,20,55,
Intersectional-Valence-WFBF,vit,white-female,black-female,pleasant,unpleasant,0.4960683704206339,9.740456857198006e-05,-0.007579572446111281,0.0604,20,55,*
Intersectional-Valence-FM,vit,female,male,pleasant,unpleasant,0.5912074995729855,-0.0037410839387696506,-0.012706699299672206,0.0033,40,55,***
Insect-Flower,swin,flower,insect,pleasant,unpleasant,1.2685919393985323,0.02941410641680663,-0.024944595564223182,0.0001,35,55,***
Gender-Science,swin,male,female,science,liberal-arts,-0.1515581390951641,0.011517716798204892,0.015132073693503162,0.7499,40,21,
Gender-Career,swin,male,female,career,family,0.558278358641297,-0.027354657623446597,-0.05067780649632588,0.0047,40,21,***
Intersectional-Gender-Science-MF,swin,male,female,science,liberal-arts,0.09023487358901955,0.012308068103361373,0.010396582115958737,0.3534,40,21,
Intersectional-Gender-Science-WMBM,swin,white-male,black-male,science,liberal-arts,-0.0787399075054625,0.011410485239330099,0.013205650967392648,0.5601,20,21,
Intersectional-Gender-Science-WMBF,swin,white-male,black-female,science,liberal-arts,0.2801223466063162,0.011410485239330099,0.0070534851259770204,0.2424,20,21,
Intersectional-Gender-Science-WMWF,swin,white-male,white-female,science,liberal-arts,-0.10049426703411152,0.011410485239330099,0.013739679105940455,0.6034,20,21,
Intersectional-Gender-Science-BMBF,swin,black-male,black-female,science,liberal-arts,0.3203882103979609,0.013205650967392648,0.0070534851259770204,0.1863,20,21,
Intersectional-Gender-Science-BMWF,swin,black-male,white-female,science,liberal-arts,-0.020821168782686566,0.013205650967392648,0.013739679105940455,0.5343,20,21,
Intersectional-Gender-Career-MF,swin,male,female,career,family,0.8735413820008834,-0.01592886470945069,-0.04231757050179903,0.0001,40,21,***
Intersectional-Gender-Career-WMBM,swin,black-male,white-male,career,family,-0.05007954330068288,-0.01640302330808552,-0.015454706110815864,0.5642,20,21,
Intersectional-Gender-Career-WMBF,swin,white-male,black-female,career,family,1.126165745409092,-0.015454706110815864,-0.051012136543984246,0.0001,20,21,***
Intersectional-Gender-Career-WMWF,swin,white-male,white-female,career,family,0.6274344768851262,-0.015454706110815864,-0.03362300445961381,0.0199,20,21,**
Intersectional-Gender-Career-BMBF,swin,black-male,black-female,career,family,1.11297508350031,-0.01640302330808552,-0.051012136543984246,0.0001,20,21,***
Intersectional-Gender-Career-BMWF,swin,black-male,white-female,career,family,0.6024553578482279,-0.01640302330808552,-0.03362300445961381,0.0268,20,21,**
Intersectional-Valence-BW,swin,white,black,pleasant,unpleasant,-0.1487115090614704,-0.006448418411741844,-0.004444723430358574,0.746,40,55,
Intersectional-Valence-WMBM,swin,white-male,black-male,pleasant,unpleasant,-0.07942800192388146,-0.012086593242933126,-0.010839346576426462,0.5986,20,55,
Intersectional-Valence-WMBF,swin,white-male,black-female,pleasant,unpleasant,-1.08603130197412,-0.012086593242933126,0.0019498997157093134,0.9998,20,55,
Intersectional-Valence-WMWF,swin,white-female,white-male,pleasant,unpleasant,0.967524759713001,-0.0008102435805505612,-0.012086593242933126,0.0005,20,55,***
Intersectional-Valence-WFBM,swin,white-female,black-male,pleasant,unpleasant,0.7084596563213927,-0.0008102435805505612,-0.010839346576426462,0.0102,20,55,**
Intersectional-Valence-BFBM,swin,black-female,black-male,pleasant,unpleasant,0.8435875668038743,0.0019498997157093134,-0.010839346576426462,0.0014,20,55,***
Intersectional-Valence-WFBF,swin,white-female,black-female,pleasant,unpleasant,-0.4030106294033943,-0.0008102435805505612,0.0019498997157093134,0.8921,20,55,
Intersectional-Valence-FM,swin,female,male,pleasant,unpleasant,0.8930578566377801,0.0005698280675793762,-0.011462969909679795,0.0001,40,55,***
